Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.009074	0.345771	99.790000	92.330000	
0.001000	0.009452	0.343184	99.772000	92.430000	
0.001000	0.008974	0.345332	99.810000	92.340000	
0.001000	0.009248	0.341283	99.806000	92.520000	
0.001000	0.009311	0.347505	99.812000	92.370000	
0.001000	0.008984	0.345058	99.776000	92.400000	
0.001000	0.008721	0.345503	99.814000	92.360000	
0.001000	0.009030	0.344097	99.806000	92.350000	
0.001000	0.008559	0.348433	99.840000	92.370000	
0.001000	0.008582	0.346921	99.836000	92.420000	
0.001000	0.008624	0.343853	99.822000	92.450000	
0.001000	0.008999	0.346127	99.808000	92.400000	
0.001000	0.009452	0.347049	99.800000	92.460000	
0.001000	0.009195	0.340945	99.784000	92.340000	
0.001000	0.008733	0.345296	99.818000	92.330000	
0.000100	0.008588	0.349903	99.808000	92.300000	
0.000100	0.008772	0.345009	99.818000	92.400000	
0.000100	0.008436	0.346144	99.832000	92.370000	
0.000100	0.009017	0.345937	99.790000	92.380000	
0.000100	0.009229	0.346195	99.776000	92.370000	
0.000100	0.009052	0.343783	99.764000	92.480000	
0.000100	0.008828	0.345524	99.828000	92.260000	
0.000100	0.008628	0.344487	99.836000	92.440000	
0.000100	0.008032	0.346273	99.868000	92.320000	
0.000100	0.008404	0.345870	99.810000	92.340000	
0.000100	0.008374	0.345920	99.828000	92.280000	
0.000100	0.008703	0.343385	99.794000	92.450000	
0.000100	0.008078	0.342974	99.830000	92.330000	
0.000100	0.008435	0.341378	99.834000	92.400000	
0.000100	0.009014	0.348008	99.786000	92.440000	
0.000100	0.008582	0.344663	99.810000	92.350000	
0.000100	0.008490	0.345279	99.822000	92.340000	
0.000100	0.008539	0.343932	99.824000	92.550000	
0.000100	0.008131	0.345566	99.830000	92.460000	
0.000100	0.008411	0.341314	99.820000	92.340000	
0.000100	0.008478	0.344975	99.844000	92.280000	
0.000100	0.008987	0.346560	99.820000	92.380000	
0.000100	0.008277	0.343734	99.828000	92.450000	
0.000100	0.008645	0.343981	99.832000	92.360000	
0.000100	0.008380	0.345597	99.844000	92.430000	
